Navn,Stasjon,Tid(norsk normaltid),Maksimumstemperatur,Minimumstemperatur
Førde Lh - Bringeland,SN57000,22.02.2025 12:00,7.8,7.4
Førde Lh - Bringeland,SN57000,22.02.2025 13:00,7.9,7.4
Førde Lh - Bringeland,SN57000,22.02.2025 14:00,8.1,7.5
Førde Lh - Bringeland,SN57000,22.02.2025 15:00,8.4,8
Førde Lh - Bringeland,SN57000,22.02.2025 16:00,8.2,7.8
Førde Lh - Bringeland,SN57000,22.02.2025 17:00,7.9,7.1
Førde Lh - Bringeland,SN57000,22.02.2025 18:00,7.4,7.1
Førde Lh - Bringeland,SN57000,22.02.2025 19:00,7.5,7
Førde Lh - Bringeland,SN57000,22.02.2025 20:00,7.2,6.6
Førde Lh - Bringeland,SN57000,22.02.2025 21:00,6.8,6.2
Førde Lh - Bringeland,SN57000,22.02.2025 22:00,6.5,5.9
Førde Lh - Bringeland,SN57000,22.02.2025 23:00,6.1,5.6
Førde Lh - Bringeland,SN57000,23.02.2025 00:00,5.9,5.4
Førde Lh - Bringeland,SN57000,23.02.2025 01:00,5.9,5.3
Førde Lh - Bringeland,SN57000,23.02.2025 02:00,5.9,5.6
Førde Lh - Bringeland,SN57000,23.02.2025 03:00,5.9,5.2
Førde Lh - Bringeland,SN57000,23.02.2025 04:00,5.7,4.6
Førde Lh - Bringeland,SN57000,23.02.2025 05:00,4.6,4.4
Førde Lh - Bringeland,SN57000,23.02.2025 06:00,4.8,4.5
Førde Lh - Bringeland,SN57000,23.02.2025 07:00,4.7,4.2
Førde Lh - Bringeland,SN57000,23.02.2025 08:00,4.6,4.2
Førde Lh - Bringeland,SN57000,23.02.2025 09:00,5.2,4.3
Førde Lh - Bringeland,SN57000,23.02.2025 10:00,6.1,5.4
Førde Lh - Bringeland,SN57000,23.02.2025 11:00,6.4,6
Førde Lh - Bringeland,SN57000,23.02.2025 12:00,7.9,6.4
Førde Lh - Bringeland,SN57000,23.02.2025 13:00,7.2,6.8
Førde Lh - Bringeland,SN57000,23.02.2025 14:00,7.4,7
Førde Lh - Bringeland,SN57000,23.02.2025 15:00,7.2,7
Førde Lh - Bringeland,SN57000,23.02.2025 16:00,7.6,7.1
Førde Lh - Bringeland,SN57000,23.02.2025 17:00,7.5,7
Førde Lh - Bringeland,SN57000,23.02.2025 18:00,7.6,7
Førde Lh - Bringeland,SN57000,23.02.2025 19:00,7.9,7.2
Førde Lh - Bringeland,SN57000,23.02.2025 20:00,8,7.6
Førde Lh - Bringeland,SN57000,23.02.2025 21:00,8.2,7.7
Førde Lh - Bringeland,SN57000,23.02.2025 22:00,8.5,7.3
Førde Lh - Bringeland,SN57000,23.02.2025 23:00,7.5,6.4
Førde Lh - Bringeland,SN57000,24.02.2025 00:00,6.3,5.1
Førde Lh - Bringeland,SN57000,24.02.2025 01:00,5.5,4.9
Førde Lh - Bringeland,SN57000,24.02.2025 02:00,5.3,4.7
Førde Lh - Bringeland,SN57000,24.02.2025 03:00,5.3,4.6
Førde Lh - Bringeland,SN57000,24.02.2025 04:00,5.3,4.8
Førde Lh - Bringeland,SN57000,24.02.2025 05:00,5.1,4.7
Førde Lh - Bringeland,SN57000,24.02.2025 06:00,5.3,4.4
Førde Lh - Bringeland,SN57000,24.02.2025 07:00,5.5,4.9
Førde Lh - Bringeland,SN57000,24.02.2025 08:00,5.2,4.8
Førde Lh - Bringeland,SN57000,24.02.2025 09:00,5.5,4.8
Førde Lh - Bringeland,SN57000,24.02.2025 10:00,5.8,5.3
Førde Lh - Bringeland,SN57000,24.02.2025 11:00,5.6,5.2
Førde Lh - Bringeland,SN57000,24.02.2025 12:00,5.6,5.3
Førde Lh - Bringeland,SN57000,24.02.2025 13:00,6,5.3
Førde Lh - Bringeland,SN57000,24.02.2025 14:00,6.7,6
Førde Lh - Bringeland,SN57000,24.02.2025 15:00,6.6,6.3
Førde Lh - Bringeland,SN57000,24.02.2025 16:00,6.5,6.1
